subid,gender,age,language,trial.num,context.condition,item,trial.type,response,coding
p100,M,35,English,10,1,bananas,nothing,a red shirt,color
p100,M,35,English,11,0,daisies,nothing,a tan shirt,color
p100,M,35,English,12,2,cakes,nothing,a purple shirt,color
p100,M,35,English,13,3,rainboots,nothing,no boots,no
p100,M,35,English,14,0,forks,item,a blue shirt,color
p100,M,35,English,15,2,buckets,nothing,a dark pink shirt,color
p100,M,35,English,16,2,kites,nothing,blonde hair,color
p100,M,35,English,17,1,phones,item,a pink shirt,color
p100,M,35,English,18,1,apples,nothing,a blue shirt,color
p100,M,35,English,19,0,guitars,item,two acoustic guitars,noun
p100,M,35,English,20,0,lollipops,nothing,a blue shirt,color
p100,M,35,English,21,1,plants,nothing,a navy blue shirt,color
p100,M,35,English,22,3,cookies,nothing,no cookies,no
p100,M,35,English,23,3,fish,item,a light blue shirt,color
p100,M,35,English,24,3,cars,nothing,a green shirt,color
p100,M,35,English,25,3,shovels,item,a yellow shirt,color
p100,M,35,English,26,1,crayons,nothing,a red shirt,color
p100,M,35,English,27,3,purses,nothing,a purple shirt,color
p100,M,35,English,28,1,presents,item,a yellow shirt,color
p100,M,35,English,29,1,pencils,item,a dark red shirt,color
p100,M,35,English,30,3,flowers,item,a tan shirt,color
p100,M,35,English,31,2,ice cream cones,item,black hair,color
p100,M,35,English,32,2,keys,nothing,an orangw shirt,color
p101,F,55,English,1,1,cakes,nothing,nothing.,nothing
p101,F,55,English,2,1,plants,item,two plants,noun
p101,F,55,English,3,0,cats,item,two cats,noun
p101,F,55,English,4,2,phones,item,two blue cell phones,noun
p101,F,55,English,5,2,umbrellas,item,two umbrellas,noun
p101,F,55,English,6,1,pencils,item,two pencils,noun
p101,F,55,English,7,0,daisies,item,a flower,noun
p101,F,55,English,8,3,shovels,nothing,a yellow shirt,color
p101,F,55,English,9,3,cars,item,two cars,noun
p101,F,55,English,10,0,presents,nothing,a pale yellow shirt,color
p101,F,55,English,11,2,balloons,nothing,a green shirt on,color
p101,F,55,English,12,1,bows,item,a pale yellow dress on,color
p101,F,55,English,13,2,buckets,item,two green buckets,noun
p101,F,55,English,14,0,guitars,item,two guitars,noun
p101,F,55,English,15,1,flowers,nothing,a spade,othernoun
p101,F,55,English,16,3,purses,nothing,a skirt on,clothing
p101,F,55,English,17,0,crayons,nothing,a red shirt on,color
p101,F,55,English,18,2,kites,nothing,a green shirt on,color
p101,F,55,English,19,3,fish,nothing,a blue shirt on,color
p101,F,55,English,20,0,ice cream cones,nothing,an orange shirt on,color
p101,F,55,English,21,1,forks,nothing,a light blue shirt on,color
p101,F,55,English,22,0,mittens,item,blue gloves on,color
p101,F,55,English,23,3,rainboots,item,a green dress on,color
p101,F,55,English,24,2,carrots,item,two carrots,noun
p101,F,55,English,25,2,lollipops,nothing,a light blue shirt on,color
p101,F,55,English,26,1,scissors,item,two scissors,noun
p101,F,55,English,27,2,bananas,nothing,a red shirt on,color
p101,F,55,English,28,3,dogs,item,two dogs,noun
p101,F,55,English,29,0,cookies,nothing,a yellow shirt on,color
p101,F,55,English,30,1,apples,nothing,a blue shirt on,color
p101,F,55,English,31,3,keys,nothing,a red shirt on,color
p101,F,55,English,32,3,donuts,item,two pink doughnuts,color
p102,F,45,English,1,2,cakes,nothing,no cake,no
p102,F,45,English,2,1,pencils,nothing,a red shirt,color
p102,F,45,English,3,3,presents,nothing,no presents,no
p102,F,45,English,4,0,lollipops,item,two lollipops,noun
p102,F,45,English,5,3,bananas,nothing,no bananas,no
p102,F,45,English,6,0,balloons,nothing,a green shirt on,color
p102,F,45,English,7,0,shovels,item,two shovels,noun
p102,F,45,English,8,2,mittens,item,a purple dress on,color
p102,F,45,English,9,3,plants,item,a blue shirt on,color
p102,F,45,English,10,1,ice cream cones,nothing,black hair,color
p102,F,45,English,11,0,fish,nothing,a light blue shirt on,color
p102,F,45,English,12,2,daisies,item, an orange shirt on,color
p102,F,45,English,13,3,purses,item,a purple shirt on,color
p102,F,45,English,14,0,donuts,item,two donuts,noun
p102,F,45,English,15,2,dogs,nothing,a green shirt on,color
p102,F,45,English,16,2,cats,item,a turquoise dress on,color
p102,F,45,English,17,1,guitars,nothing,a green shirt on,color
p102,F,45,English,18,2,phones,item,a pink shirt on,color
p102,F,45,English,19,1,forks,nothing,black hair.,color
p102,F,45,English,20,0,apples,nothing,dark blonde hair.,color
p102,F,45,English,21,3,cars,item,a green shirt on,color
p102,F,45,English,22,2,flowers,nothing,orange shirt on,color
p102,F,45,English,23,0,keys,nothing,black hair,color
p102,F,45,English,24,1,crayons,item,a read shirt on,color
p102,F,45,English,25,1,buckets,item,a pink dress on,color
p102,F,45,English,26,3,kites,nothing,no kites,no
p102,F,45,English,27,2,carrots,nothing,a red shirt on,color
p102,F,45,English,28,1,rainboots,item,dark brown hair,color
p102,F,45,English,29,3,cookies,nothing,no hamburgers on his tray,no
p102,F,45,English,30,1,bows,item,a yellow dress on,color
p102,F,45,English,31,0,umbrellas,item,two umbrellas,noun
p102,F,45,English,32,3,scissors,item,a green shirt on,color
p103,M,55,English,1,2,phones,item,2 blue phones,noun
p103,M,55,English,2,2,umbrellas,nothing,a red shirt,color
p103,M,55,English,3,2,mittens,item,brown hair,color
p103,M,55,English,4,1,bows,item,a yellow dress,color
p103,M,55,English,5,3,flowers,nothing,no flowers,no
p103,M,55,English,6,0,apples,item,2 apples,noun
p103,M,55,English,7,1,plants,nothing,orange hair,color
p103,M,55,English,8,0,kites,nothing,blond hair,color
p103,M,55,English,9,0,cookies,item,2 cookies,noun
p103,M,55,English,10,3,pencils,nothing,no pencils,no
p103,M,55,English,11,3,cats,item,blond hair,color
p103,M,55,English,12,0,guitars,item,2 guitars,noun
p103,M,55,English,13,3,buckets,nothing,no buckets,no
p103,M,55,English,14,1,dogs,item,two dogs,noun
p103,M,55,English,15,0,presents,nothing,a yellow shirt,color
p103,M,55,English,16,1,carrots,nothing,a maroon shirt,color
p103,M,55,English,17,1,cakes,item,2 cakes,noun
p103,M,55,English,18,0,cars,item,2 toy cars,noun
p103,M,55,English,19,2,bananas,nothing,blond hair,color
p103,M,55,English,20,3,fish,item,a light blue shirt,color
p103,M,55,English,21,2,lollipops,item,a light blue shirt,color
p103,M,55,English,22,3,ice cream cones,nothing,no ice cream cones,no
p103,M,55,English,23,2,scissors,item,2 pairs of scissors,noun
p103,M,55,English,24,0,forks,nothing,a light blue shirt,color
p103,M,55,English,25,1,donuts,item,a purple shirt,color
p103,M,55,English,26,2,rainboots,nothing,no boots,no
p103,M,55,English,27,1,crayons,nothing,a red shirt,color
p103,M,55,English,28,1,shovels,nothing,a yellow shirt,color
p103,M,55,English,29,3,keys,item,a red shirt,color
p103,M,55,English,30,0,purses,nothing,blond hair,color
p103,M,55,English,31,2,daisies,nothing,an orange shirt,color
p103,M,55,English,32,3,balloons,item,a green shirt,color
p104,M,45,English,1,3,cats,item,two cats,noun
p104,M,45,English,2,2,keys,item,a red shirt,color
p104,M,45,English,3,0,phones,item,two cellphones,noun
p104,M,45,English,4,0,kites,nothing,yellow hair,color
p104,M,45,English,5,1,bows,nothing,pigtails,body
p104,M,45,English,6,0,cars,nothing,black hair,color
p104,M,45,English,7,1,apples,nothing,a blue shirt on,color
p104,M,45,English,8,2,buckets,nothing,a pink dress on,color
p104,M,45,English,9,0,cakes,nothing,a light blue shirt on,color
p104,M,45,English,10,0,forks,item,two forks,noun
p104,M,45,English,11,1,daisies,item,two flowers in his hand,noun
p104,M,45,English,12,0,donuts,nothing,a purple shirt on,color
p104,M,45,English,13,0,balloons,item,two balloons,noun
p104,M,45,English,14,3,flowers,item,an orange shirt on,color
p104,M,45,English,15,3,mittens,nothing,no mittens,no
p104,M,45,English,16,2,purses,item,two purses,noun
p104,M,45,English,17,1,umbrellas,nothing,no umbrellas ,no
p104,M,45,English,18,3,scissors,nothing,no scissors,no
p104,M,45,English,19,2,plants,nothing,a blue shirt on,color
p104,M,45,English,20,2,guitars,item,two guitars,noun
p104,M,45,English,21,3,dogs,item,two dogs ,noun
p104,M,45,English,22,1,crayons,nothing,an empty table in front of her,empty
p104,M,45,English,23,1,fish,item,two fish,noun
p104,M,45,English,24,3,ice cream cones,nothing,no ice cream like the other boys,no
p104,M,45,English,25,2,pencils,nothing,no pencils on his desk,no
p104,M,45,English,26,2,lollipops,nothing,a light blue shirt on,color
p104,M,45,English,27,3,carrots,nothing,no carrots in her basket,no
p104,M,45,English,28,0,presents,item,two presents on her lap,noun
p104,M,45,English,29,1,bananas,item,two bananas in his hand,noun
p104,M,45,English,30,3,cookies,item,two cookies on a plate,noun
p104,M,45,English,31,2,shovels,item,two shovels ,noun
p104,M,45,English,32,1,rainboots,item,rain boots on her feet,noun
p105,M,45,English,1,0,purses,nothing,blonde hair,color
p105,M,45,English,2,1,balloons,item,black hair,color
p105,M,45,English,3,2,keys,item,black hair,color
p105,M,45,English,4,2,cookies,item,a yellow shirt,color
p105,M,45,English,5,2,apples,nothing,a blue shirt,color
p105,M,45,English,6,1,phones,nothing,a pink shirt,color
p105,M,45,English,7,2,ice cream cones,nothing,an orange shirt,color
p105,M,45,English,8,3,plants,item,a blue shirt,color
p105,M,45,English,9,1,donuts,item,a purple shirt,color
p105,M,45,English,10,0,buckets,nothing,a pink dress,color
p105,M,45,English,11,0,dogs,item,two dogs,noun
p105,M,45,English,12,1,cars,item,a green shirt,color
p105,M,45,English,13,0,carrots,item,two carrots,noun
p105,M,45,English,14,1,lollipops,item,a blue shirt,color
p105,M,45,English,15,2,pencils,item,a red shirt,color
p105,M,45,English,16,2,flowers,nothing,an orange shirt,color
p105,M,45,English,17,1,rainboots,nothing,a light green dress,color
p105,M,45,English,18,0,cakes,nothing,a purple shirt,color
p105,M,45,English,19,3,mittens,nothing,no mittens,no
p105,M,45,English,20,2,scissors,nothing,a green shirt,color
p105,M,45,English,21,1,umbrellas,nothing,a red shirt,color
p105,M,45,English,22,3,bananas,item,a red shirt,color
p105,M,45,English,23,0,shovels,item,two shovels,noun
p105,M,45,English,24,3,presents,nothing,no gifts,no
p105,M,45,English,25,3,crayons,nothing,no crayons,no
p105,M,45,English,26,0,bows,nothing,a yellow dress,color
p105,M,45,English,27,0,daisies,item,two flowers,noun
p105,M,45,English,28,1,fish,nothing,a light blue shirt,color
p105,M,45,English,29,3,forks,item,a blue shirt,color
p105,M,45,English,30,3,kites,nothing,no kites,no
p105,M,45,English,31,3,cats,item,blonde hair,color
p105,M,45,English,32,2,guitars,item,a green shirt,color
p106,M,35,English,1,1,cakes,nothing,a purple shirt on,color
p106,M,35,English,2,1,carrots,item,two carrots in her basket,noun
p106,M,35,English,3,2,cats,nothing,no cats,no
p106,M,35,English,4,3,pencils,item,two pencils,noun
p106,M,35,English,5,1,shovels,item,two shovels,noun
p106,M,35,English,6,2,cookies,item,two cookies,noun
p106,M,35,English,7,3,kites,item,two kites,noun
p106,M,35,English,8,1,donuts,item,two donuts,noun
p106,M,35,English,9,2,flowers,nothing,no flowers in her basket,no
p106,M,35,English,10,3,purses,nothing,no bags in her hands,no
p106,M,35,English,11,0,guitars,nothing,a green shirt on,color
p106,M,35,English,12,2,apples,nothing,no apples,no
p106,M,35,English,13,2,rainboots,item,teal boots on,noun
p106,M,35,English,14,0,bows,item,two bows in her hair,noun
p106,M,35,English,15,0,dogs,nothing,a green shirt on,color
p106,M,35,English,16,1,keys,nothing,no keys ,no
p106,M,35,English,17,3,mittens,nothing,no gloves on,no
p106,M,35,English,18,3,plants,item,a blue shirt on,color
p106,M,35,English,19,3,ice cream cones,nothing,no ice cream cones,no
p106,M,35,English,20,2,umbrellas,item,two umbrellas,noun
p106,M,35,English,21,0,cars,nothing,a green shirt on,color
p106,M,35,English,22,0,balloons,item,two green balloons,noun
p106,M,35,English,23,2,lollipops,nothing,no lollipops,no
p106,M,35,English,24,0,phones,item,two cellphones,noun
p106,M,35,English,25,2,buckets,item,two green buckets,noun
p106,M,35,English,26,1,daisies,nothing,no flowers,no
p106,M,35,English,27,3,scissors,item,two pairs of scissors,noun
p106,M,35,English,28,1,fish,item,two fish,noun
p106,M,35,English,29,1,bananas,nothing,no bananas,no
p106,M,35,English,30,3,crayons,nothing,no crayons,no
p106,M,35,English,31,0,presents,nothing,a yellow shirt on,color
p106,M,35,English,32,0,forks,item,two forks,noun
p107,M,25,english,1,3,plants,nothing,no plants,no
p107,M,25,english,2,1,ice cream cones,nothing,grey shoes,color
p107,M,25,english,3,3,forks,item,two forks,noun
p107,M,25,english,4,3,keys,nothing,no keys on him,no
p107,M,25,english,5,2,purses,nothing,a skirt,clothing
p107,M,25,english,6,1,carrots,item,two carrots,noun
p107,M,25,english,7,3,bows,item,a yellow dress,color
p107,M,25,english,8,1,rainboots,item,blue boots,noun
p107,M,25,english,9,0,apples,item,two apples,noun
p107,M,25,english,10,1,lollipops,nothing,black shoes,color
p107,M,25,english,11,2,donuts,nothing,no donuts,no
p107,M,25,english,12,0,mittens,nothing,a lavendar dress,color
p107,M,25,english,13,3,pencils,nothing,yellow hair,color
p107,M,25,english,14,0,fish,nothing,a blue shirt,color
p107,M,25,english,15,2,bananas,item,two bananas,noun
p107,M,25,english,16,0,cars,item,two cars,noun
p107,M,25,english,17,2,cakes,item,two cakes,noun
p107,M,25,english,18,0,dogs,nothing,a green shirt,color
p107,M,25,english,19,2,flowers,nothing,a red shirt,color
p107,M,25,english,20,2,crayons,item,two crayons,noun
p107,M,25,english,21,0,balloons,item,two balloons,noun
p107,M,25,english,22,1,buckets,nothing,a pink dress,color
p107,M,25,english,23,3,kites,item,two kites,noun
p107,M,25,english,24,2,scissors,nothing,a green shirt,color
p107,M,25,english,25,3,umbrellas,nothing,a red shirt,color
p107,M,25,english,26,1,phones,item,two phones,noun
p107,M,25,english,27,1,cookies,item,two cookies,noun
p107,M,25,english,28,2,guitars,item,two guitars,noun
p107,M,25,english,29,3,cats,item,two cats,noun
p107,M,25,english,30,0,presents,item,two presents,noun
p107,M,25,english,31,1,daisies,nothing,a orange shirt,color
p107,M,25,english,32,0,shovels,nothing,a yellow shirt,color
p108,F,45,English,1,3,lollipops,nothing,no lolipop,no
p108,F,45,English,2,0,cookies,item,cookies,noun
p108,F,45,English,3,1,daisies,nothing,an orange shirt,color
p108,F,45,English,4,2,balloons,item,a green shirt,color
p108,F,45,English,5,1,mittens,item,a purple dress,color
p108,F,45,English,6,2,cakes,nothing,purple shirt,color
p108,F,45,English,7,1,carrots,item,a pink head band,color
p108,F,45,English,8,0,donuts,nothing,a purple shirt,color
p108,F,45,English,9,3,bananas,nothing,no bananas,no
p108,F,45,English,10,0,cats,nothing,blonde hair,color
p108,F,45,English,11,1,purses,nothing,a purple shirt,color
p108,F,45,English,12,1,ice cream cones,nothing,an orange shirt,color
p108,F,45,English,13,0,flowers,item,flowers,noun
p108,F,45,English,14,2,umbrellas,nothing,a red shirt,color
p108,F,45,English,15,2,scissors,nothing,a green shirt,color
p108,F,45,English,16,0,presents,nothing,a yellow shirt,color
p108,F,45,English,17,2,plants,item,a blue shirt,color
p108,F,45,English,18,0,crayons,item,two crayons,noun
p108,F,45,English,19,0,pencils,item,two pencils,noun
p108,F,45,English,20,3,buckets,nothing,no buckets,no
p108,F,45,English,21,3,rainboots,item,a green dress,color
p108,F,45,English,22,3,bows,nothing,no hairbows,no
p108,F,45,English,23,2,keys,nothing,black hair,color
p108,F,45,English,24,1,phones,item,a pink shirt,color
p108,F,45,English,25,0,forks,nothing,blue shirt,color
p108,F,45,English,26,2,kites,item,blonde hair,color
p108,F,45,English,27,3,cars,item,a green shirt,color
p108,F,45,English,28,1,shovels,item,a yellow shirt,color
p108,F,45,English,29,3,fish,item,a blue shirt,color
p108,F,45,English,30,1,guitars,nothing,a greens shirt,color
p108,F,45,English,31,2,apples,item,a blue shirt,color
p108,F,45,English,32,3,dogs,item,a green shirt,color
p109,F,65,English,1,0,cats,item,two cats,noun
p109,F,65,English,2,1,buckets,item,two pails,noun
p109,F,65,English,3,1,cookies,nothing,a tray,othernoun
p109,F,65,English,4,1,shovels,nothing,a flower,noun
p109,F,65,English,5,2,apples,nothing,a blue shirt,color
p109,F,65,English,6,2,phones,item,two cell phones,noun
p109,F,65,English,7,2,balloons,nothing,chin length hair,body
p109,F,65,English,8,0,bows,item,pink dress,color
p109,F,65,English,9,3,presents,item,two gifts,noun
p109,F,65,English,10,3,kites,item,two kites,noun
p109,F,65,English,11,0,daisies,nothing,orange tshirt,color
p109,F,65,English,12,2,purses,nothing,blue shirt,color
p109,F,65,English,13,1,ice cream cones,item,orange tshirt,color
p109,F,65,English,14,0,fish,item,fish and rod,noun
p109,F,65,English,15,3,mittens,nothing,no mittens,no
p109,F,65,English,16,2,donuts,nothing,grey tshirt,color
p109,F,65,English,17,1,dogs,item,blue shorts,color
p109,F,65,English,18,1,rainboots,nothing,a knee length dress,clothing
p109,F,65,English,19,3,flowers,nothing,a basket,othernoun
p109,F,65,English,20,0,pencils,nothing,short hair,body
p109,F,65,English,21,3,cars,item,grey shoes,color
p109,F,65,English,22,2,lollipops,item,two lollipops,noun
p109,F,65,English,23,3,scissors,nothing,green tshirt,color
p109,F,65,English,24,2,bananas,item,banannas,noun
p109,F,65,English,25,3,guitars,nothing,no guitars,no
p109,F,65,English,26,2,keys,item,keys,noun
p109,F,65,English,27,0,forks,nothing,blue tshirt,color
p109,F,65,English,28,1,crayons,nothing,black hair,color
p109,F,65,English,29,0,carrots,item,a garden,other
p109,F,65,English,30,0,plants,nothing,a smile,body
p109,F,65,English,31,1,cakes,item,cakes,noun
p109,F,65,English,32,3,umbrellas,item,orange tshirt,color
p11,F,35,english,1,2,rainboots,item,a teal dress,color
p11,F,35,english,2,0,pencils,item,two pencils on the desk,noun
p11,F,35,english,3,1,fish,nothing,a blue shirt on,color
p11,F,35,english,4,0,apples,nothing,a dark blue shirt,color
p11,F,35,english,5,0,carrots,item,two carrots in her basket,noun
p11,F,35,english,6,2,crayons,item,two blue crayons,noun
p11,F,35,english,7,0,bows,item,pink bows in her hair,noun
p11,F,35,english,8,3,mittens,item,a purple dress,color
p11,F,35,english,9,2,donuts,nothing,a purple shirt,color
p11,F,35,english,10,3,cookies,nothing,no cookies,no
p11,F,35,english,11,3,keys,nothing,no keys in his hand,no
p11,F,35,english,12,2,forks,item,a blue shirt,color
p11,F,35,english,13,1,dogs,item,a green shirt,color
p11,F,35,english,14,2,cats,nothing,blonde hair,color
p11,F,35,english,15,3,guitars,item,a green shirt,color
p11,F,35,english,16,2,cakes,item,s purple shirt,color
p11,F,35,english,17,3,purses,item,two purses,noun
p11,F,35,english,18,0,umbrellas,nothing,a red shirt on,color
p11,F,35,english,19,3,daisies,nothing,no flowers,no
p11,F,35,english,20,3,flowers,nothing,no flowers in her basket,no
p11,F,35,english,21,1,cars,item,two red cars,noun
p11,F,35,english,22,2,plants,nothing,no plants on his table,no
p11,F,35,english,23,1,ice cream cones,nothing,his hand out,body
p11,F,35,english,24,1,buckets,nothing,a pink dress,color
p11,F,35,english,25,0,phones,item,two blue phones,noun
p11,F,35,english,26,0,bananas,nothing,a red shirt,color
p11,F,35,english,27,1,balloons,item,two green balloons,noun
p11,F,35,english,28,2,scissors,nothing,no scissors,no
p11,F,35,english,29,1,shovels,item,two shovels,noun
p11,F,35,english,30,1,presents,nothing,her legs crossed,body
p11,F,35,english,31,0,lollipops,nothing,a blue shirt,color
p11,F,35,english,32,3,kites,item,two kites,noun
p110,M,35,english,1,1,scissors,item,two scissors,noun
p110,M,35,english,2,0,cookies,item,two cookies,noun
p110,M,35,english,3,2,bows,nothing,no ribbon,no
p110,M,35,english,4,0,dogs,item,two dogs,noun
p110,M,35,english,5,1,daisies,nothing,nothing,nothing
p110,M,35,english,6,2,ice cream cones,nothing,no ice cream,no
p110,M,35,english,7,3,buckets,nothing,no buckets,no
p110,M,35,english,8,1,fish,item,two fish,noun
p110,M,35,english,9,2,kites,item,two kites,noun
p110,M,35,english,10,2,guitars,nothing,nothing,nothing
p110,M,35,english,11,0,cakes,nothing,a desk,othernoun
p110,M,35,english,12,1,shovels,nothing,thin air,other
p110,M,35,english,13,1,forks,item,two forks,noun
p110,M,35,english,14,2,umbrellas,item,two umbrellas,noun
p110,M,35,english,15,2,phones,item,two phones,noun
p110,M,35,english,16,1,cars,nothing,imaginary car,other
p110,M,35,english,17,0,carrots,nothing,shovel and baskett,othernoun
p110,M,35,english,18,3,presents,nothing,nothing,nothing
p110,M,35,english,19,3,balloons,item,two balloons ,noun
p110,M,35,english,20,3,keys,nothing,nothingness,nothing
p110,M,35,english,21,3,cats,nothing,no cats,no
p110,M,35,english,22,2,apples,item,a pair of apples,noun
p110,M,35,english,23,3,rainboots,item,nothing,nothing
p110,M,35,english,24,1,plants,item,two plants,noun
p110,M,35,english,25,0,bananas,item,two bananas,noun
p110,M,35,english,26,3,pencils,item,pair of pencils,noun
p110,M,35,english,27,2,donuts,nothing,empty table,empty
p110,M,35,english,28,3,mittens,item,oven mitts,noun
p110,M,35,english,29,0,lollipops,nothing,nothing,nothing
p110,M,35,english,30,1,crayons,nothing,empty desk,empty
p110,M,35,english,31,0,flowers,item,a basket of flowers,noun
p110,M,35,english,32,0,purses,nothing,nothing,nothing
p111,M,45,English,1,2,crayons,nothing,things,other
p111,M,45,English,2,1,flowers,item,things,other
p111,M,45,English,3,0,buckets,nothing,things,other
p111,M,45,English,4,1,ice cream cones,item,things,other
p111,M,45,English,5,0,carrots,item,things,other
p111,M,45,English,6,1,lollipops,nothing,things,other
p111,M,45,English,7,3,keys,nothing,things,other
p111,M,45,English,8,1,cars,item,things,other
p111,M,45,English,9,3,presents,item,things,other
p111,M,45,English,10,2,plants,nothing,things,other
p111,M,45,English,11,3,rainboots,item,things,other
p111,M,45,English,12,1,guitars,item,things,other
p111,M,45,English,13,0,dogs,item,things,other
p111,M,45,English,14,0,apples,nothing,things,other
p111,M,45,English,15,3,umbrellas,item,things,other
p111,M,45,English,16,3,cats,nothing,things,other
p111,M,45,English,17,2,fish,item,things,other
p111,M,45,English,18,1,bananas,nothing,things,other
p111,M,45,English,19,1,forks,nothing,things,other
p111,M,45,English,20,0,pencils,item,things,other
p111,M,45,English,21,2,purses,item,things,other
p111,M,45,English,22,2,donuts,item,things,other
p111,M,45,English,23,3,bows,nothing,things,other
p111,M,45,English,24,3,mittens,item,things,other
p111,M,45,English,25,3,phones,nothing,things,other
p111,M,45,English,26,2,kites,nothing,things,other
p111,M,45,English,27,0,balloons,nothing,things,other
p111,M,45,English,28,0,scissors,item,things,other
p111,M,45,English,29,2,cookies,nothing,things,other
p111,M,45,English,30,1,shovels,nothing,things,other
p111,M,45,English,31,0,cakes,nothing,things,other
p111,M,45,English,32,2,daisies,item,things,other
p112,M,35,english,1,1,donuts,item,a purple shirt,color
p112,M,35,english,2,1,rainboots,nothing,a light-green dress,color
p112,M,35,english,3,3,shovels,item,a yellow shirt,color
p112,M,35,english,4,0,phones,item,two cell phones,noun
p112,M,35,english,5,3,kites,item,blonde hair,color
p112,M,35,english,6,3,dogs,nothing,no dogs,no
p112,M,35,english,7,2,buckets,nothing,no buckets,no
p112,M,35,english,8,0,presents,item,two presents,noun
p112,M,35,english,9,3,scissors,nothing,no scissors,no
p112,M,35,english,10,1,forks,nothing,black hair,color
p112,M,35,english,11,1,cars,item,a green shirt on,color
p112,M,35,english,12,2,apples,item,a blue shirt on,color
p112,M,35,english,13,2,cakes,nothing,a purple shirt on,color
p112,M,35,english,14,1,balloons,nothing,black hair,color
p112,M,35,english,15,2,plants,item,red hair,color
p112,M,35,english,16,0,pencils,item,two pencils,noun
p112,M,35,english,17,2,cats,item,blonde hair,color
p112,M,35,english,18,2,umbrellas,nothing,a red shirt on,color
p112,M,35,english,19,3,cookies,item,a yellow shirt on,color
