"","subid","gender","age","language","trial.num","context.condition","item","trial.type","response","coding"
"145",6,"M",35,"English",17,2,"forks","nothing","no forks","no"
"146",6,"M",35,"English",18,1,"bananas","nothing","no bananas","no"
"147",6,"M",35,"English",19,3,"bows","item","two hair bows","noun"
"148",6,"M",35,"English",20,3,"scissors","nothing","no sicors","no"
"149",6,"M",35,"English",21,1,"purses","item","two bags","noun"
"150",6,"M",35,"English",22,0,"flowers","item","two flowers","noun"
"151",6,"M",35,"English",23,1,"balloons","item","two ballons","noun"
"152",6,"M",35,"English",24,0,"lollipops","nothing","nothing in his hand","nothing"
"153",6,"M",35,"English",25,0,"shovels","nothing","nothing in her hand","nothing"
"154",6,"M",35,"English",26,1,"crayons","nothing","no crayons","no"
"155",6,"M",35,"English",27,1,"cakes","nothing","no birthday cakes","no"
"156",6,"M",35,"English",28,0,"cars","nothing","her hands on the floor","body"
"157",6,"M",35,"English",29,3,"apples","item","two apples","noun"
"158",6,"M",35,"English",30,2,"presents","item","two presents","noun"
"159",6,"M",35,"English",31,0,"plants","item","two plants","noun"
"160",6,"M",35,"English",32,2,"phones","nothing","no cell phones","no"
"161",7,"M",35,"english",1,1,"cars","nothing","nothing in her hands","nothing"
"162",7,"M",35,"english",2,1,"pencils","item","2 pencils on his desk","noun"
"163",7,"M",35,"english",3,1,"rainboots","nothing","no shoes on","no"
"164",7,"M",35,"english",4,2,"forks","item","two forks","noun"
"165",7,"M",35,"english",5,2,"cookies","nothing","nothing on his platter","nothing"
"166",7,"M",35,"english",6,2,"kites","nothing","been looking upward","other"
"167",7,"M",35,"english",7,0,"umbrellas","nothing","really long arms","body"
"168",7,"M",35,"english",8,0,"buckets","item","two buckets","noun"
"169",7,"M",35,"english",9,3,"plants","nothing","an empty desk","empty"
"170",7,"M",35,"english",10,3,"dogs","nothing","on blue shorts","clothing"
"171",7,"M",35,"english",11,3,"lollipops","nothing","his hand up to wave","body"
"172",7,"M",35,"english",12,0,"balloons","nothing","her left arm up","body"
"173",7,"M",35,"english",13,2,"scissors","nothing","a green shirt","clothing"
"174",7,"M",35,"english",14,0,"donuts","item","two donuts","noun"
"175",7,"M",35,"english",15,3,"bows","nothing","a yellow dress","clothing"
"176",7,"M",35,"english",16,0,"bananas","nothing","black shoes","clothing"
"177",7,"M",35,"english",17,3,"apples","item","two apples","noun"
"178",7,"M",35,"english",18,0,"shovels","nothing","brown hair","body"
"179",7,"M",35,"english",19,2,"ice cream cones","item","two ice cream cones","noun"
"180",7,"M",35,"english",20,2,"guitars","item","two guitars","noun"
"181",7,"M",35,"english",21,1,"daisies","nothing","an orange shirt","clothing"
"182",7,"M",35,"english",22,1,"purses","item","one too many purses","noun"
"183",7,"M",35,"english",23,1,"presents","nothing","been seated","other"
"184",7,"M",35,"english",24,3,"cakes","item","two cakes","noun"
"185",7,"M",35,"english",25,2,"flowers","nothing","an empty basket","empty"
"186",7,"M",35,"english",26,3,"cats","item","two cats","noun"
"187",7,"M",35,"english",27,0,"carrots","item","two carrots","noun"
"188",7,"M",35,"english",28,1,"mittens","item","on mittens","noun"
"189",7,"M",35,"english",29,3,"crayons","item","crayons","noun"
"190",7,"M",35,"english",30,0,"keys","item","keys","noun"
"191",7,"M",35,"english",31,1,"phones","item","two phones","noun"
"192",7,"M",35,"english",32,2,"fish","item","caught some fish","other"
"193",8,"M",25,"English",1,3,"scissors","nothing","no scissors","no"
"194",8,"M",25,"English",2,3,"fish","nothing","no fish","no"
"195",8,"M",25,"English",3,1,"cars","item","two toy cars.","noun"
"196",8,"M",25,"English",4,2,"mittens","nothing","no oven mitts.","no"
"197",8,"M",25,"English",5,2,"guitars","item","no guitars.","no"
"198",8,"M",25,"English",6,1,"bows","item","two pink bows.","noun"
"199",8,"M",25,"English",7,0,"cakes","item","two birthday cakes.","noun"
"200",8,"M",25,"English",8,0,"purses","nothing","a blue shirt and black skirt.","clothing"
"201",8,"M",25,"English",9,2,"donuts","item","two pink donuts.","noun"
"202",8,"M",25,"English",10,1,"ice cream cones","nothing","no ice cream.","no"
"203",8,"M",25,"English",11,3,"kites","nothing","no kite.","no"
"204",8,"M",25,"English",12,0,"daisies","item","two flowers.","noun"
"205",8,"M",25,"English",13,3,"cookies","item","two cookies.","noun"
"206",8,"M",25,"English",14,2,"balloons","nothing","no balloons.","no"
"207",8,"M",25,"English",15,0,"dogs","nothing","blue shorts and a green shirt.","clothing"
"208",8,"M",25,"English",16,2,"rainboots","nothing","bare feet.","body"
"209",8,"M",25,"English",17,2,"umbrellas","item","two umbrellas.","noun"
"210",8,"M",25,"English",18,2,"carrots","item","two carrots.","noun"
"211",8,"M",25,"English",19,3,"apples","item","two apples.","noun"
"212",8,"M",25,"English",20,1,"bananas","nothing","no banana.","no"
"213",8,"M",25,"English",21,1,"keys","nothing","an orange shirt and grey shorts.","clothing"
"214",8,"M",25,"English",22,2,"flowers","nothing","no flowers in her basket","no"
"215",8,"M",25,"English",23,1,"plants","item","two potted plants.","noun"
"216",8,"M",25,"English",24,0,"shovels","nothing","a yellow shirt and a grey skirt.","clothing"
"217",8,"M",25,"English",25,1,"crayons","nothing","no crayons.","no"
"218",8,"M",25,"English",26,1,"forks","item","two forks.","noun"
"219",8,"M",25,"English",27,0,"lollipops","nothing","a blue t shirt and grey shorts.","clothing"
"220",8,"M",25,"English",28,0,"presents","item","two wrapped gifts.","noun"
"221",8,"M",25,"English",29,0,"phones","item","two cell phones.","noun"
"222",8,"M",25,"English",30,3,"cats","item","two cats.","noun"
"223",8,"M",25,"English",31,3,"buckets","item","two buckets.","noun"
"224",8,"M",25,"English",32,3,"pencils","nothing","no pencil.","no"
"225",9,"M",35,"English",1,0,"donuts","item","two donuts","noun"
"226",9,"M",35,"English",2,1,"kites","nothing","no kites","no"
"227",9,"M",35,"English",3,3,"cars","nothing","no cars","no"
"228",9,"M",35,"English",4,2,"purses","nothing","no bags","no"
"229",9,"M",35,"English",5,2,"carrots","item","two carrots","noun"
"230",9,"M",35,"English",6,3,"ice cream cones","item","two ice cream cones","noun"
"231",9,"M",35,"English",7,0,"bananas","nothing","a red shirt","clothing"
"232",9,"M",35,"English",8,2,"dogs","item","two dogs","noun"
"233",9,"M",35,"English",9,1,"guitars","item","two guitars","noun"
"234",9,"M",35,"English",10,0,"presents","nothing","a yellow shirt","clothing"
"235",9,"M",35,"English",11,3,"cats","nothing","no kitties","no"
"236",9,"M",35,"English",12,2,"bows","item","pink ribbons in her hair","noun"
"237",9,"M",35,"English",13,1,"buckets","nothing","no buckets","no"
"238",9,"M",35,"English",14,2,"forks","item","two forks","noun"
"239",9,"M",35,"English",15,3,"scissors","item","two pairs of scissors","noun"
"240",9,"M",35,"English",16,2,"daisies","nothing","no flowers","no"
"241",9,"M",35,"English",17,1,"balloons","nothing","no balloons","no"
"242",9,"M",35,"English",18,0,"cakes","nothing","a purple shirt","clothing"
"243",9,"M",35,"English",19,3,"umbrellas","item","two umbrellas","noun"
"244",9,"M",35,"English",20,0,"crayons","item","two crayons","noun"
"245",9,"M",35,"English",21,1,"plants","item","two plants","noun"
"246",9,"M",35,"English",22,2,"shovels","nothing","no shovels","no"
"247",9,"M",35,"English",23,1,"mittens","nothing","no mittens","no"
"248",9,"M",35,"English",24,3,"flowers","item","two roses","noun"
"249",9,"M",35,"English",25,0,"keys","nothing","an orange shirt","clothing"
"250",9,"M",35,"English",26,0,"lollipops","item","two lollypops","noun"
"251",9,"M",35,"English",27,0,"pencils","item","two pencils","noun"
"252",9,"M",35,"English",28,1,"phones","item","two cellphones","noun"
"253",9,"M",35,"English",29,3,"fish","nothing","no fish","no"
"254",9,"M",35,"English",30,1,"rainboots","item","blue boots","noun"
"255",9,"M",35,"English",31,2,"cookies","nothing","an empty tray","empty"
"256",9,"M",35,"English",32,3,"apples","nothing","no apples","no"
"257",12,"M",45,"English",1,1,"rainboots","item","blue boots","noun"
"258",12,"M",45,"English",2,1,"presents","nothing","a yellow shirt","clothing"
"259",12,"M",45,"English",3,0,"buckets","item","two green buckets","noun"
"260",12,"M",45,"English",4,0,"phones","item","two phones","noun"
"261",12,"M",45,"English",5,3,"purses","nothing","no shopping bags or purses","no"
"262",12,"M",45,"English",6,0,"flowers","nothing","a black fruit and a picnic basket","othernoun"
"263",12,"M",45,"English",7,0,"keys","item","a key ring","noun"
"264",12,"M",45,"English",8,0,"plants","nothing","a blue shirt and orange hair","body"
"265",12,"M",45,"English",9,1,"cakes","nothing","a purple shirt and black hair","body"
"266",12,"M",45,"English",10,1,"ice cream cones","item","two ice cream cones","noun"
"267",12,"M",45,"English",11,2,"bananas","nothing","an orange shirt and black shorts","clothing"
"268",12,"M",45,"English",12,3,"crayons","nothing","a red shirt and no crayons","no"
"269",12,"M",45,"English",13,2,"umbrellas","nothing","a red shirt and no umbrellas","no"
"270",12,"M",45,"English",14,2,"apples","nothing","a blue shirt and no apples","no"
"271",12,"M",45,"English",15,3,"forks","item","a light blue shirt and two forks","noun"
"272",12,"M",45,"English",16,3,"cookies","item","a yellow shirt and two chocolate chip cookies","noun"
"273",12,"M",45,"English",17,3,"carrots","nothing","a black fruit and an empty picnic basket","empty"
"274",12,"M",45,"English",18,1,"bows","nothing","a yellow dress and no bows in her hair","no"
"275",12,"M",45,"English",19,2,"mittens","item","a purple dress and light blue mittens","noun"
"276",12,"M",45,"English",20,2,"cars","nothing","a green shirt and no cars","no"
"277",12,"M",45,"English",21,3,"fish","item","a light blue shirt and two green fish","noun"
"278",12,"M",45,"English",22,1,"dogs","item","a green shirt and two grey dogs","noun"
"279",12,"M",45,"English",23,0,"donuts","nothing","a purple shirt and black hair","body"
"280",12,"M",45,"English",24,2,"lollipops","item","light blue shirt and two lollipops","noun"
"281",12,"M",45,"English",25,0,"shovels","item","yellow shirt and two shovels","noun"
"282",12,"M",45,"English",26,1,"guitars","item","a green shirt and two guitars","noun"
"283",12,"M",45,"English",27,3,"scissors","nothing","a green shirt and no scissors","no"
"284",12,"M",45,"English",28,2,"daisies","item","an orange shirt and two white flowers","noun"
"285",12,"M",45,"English",29,1,"cats","nothing","a teal dress and no cats","no"
"286",12,"M",45,"English",30,2,"kites","item","a green shirt and two kites","noun"
"287",12,"M",45,"English",31,0,"balloons","nothing","a green shirt and black skirt","clothing"
"288",12,"M",45,"English",32,3,"pencils","item","a maroon shirt and two pencils","noun"
"289",14,"F",35,"english",1,3,"presents","item","two gifts.","noun"
"290",14,"F",35,"english",2,1,"keys","nothing","nothing in his hand","nothing"
"291",14,"F",35,"english",3,3,"crayons","item","two blue crayons.","noun"
"292",14,"F",35,"english",4,0,"shovels","nothing","a yellow shirt on","clothing"
"293",14,"F",35,"english",5,2,"fish","nothing","no fish","no"
"294",14,"F",35,"english",6,1,"apples","item","two apples","noun"
"295",14,"F",35,"english",7,0,"rainboots","nothing","brown hair","body"
"296",14,"F",35,"english",8,0,"cakes","item","two cakes","noun"
"297",14,"F",35,"english",9,2,"buckets","nothing","a pink dress on","clothing"
"298",14,"F",35,"english",10,0,"bananas","item","some bananas","noun"
"299",14,"F",35,"english",11,3,"flowers","nothing","no flowers in her basket","no"
"300",14,"F",35,"english",12,0,"ice cream cones","item","two ice cream cones","noun"
"301",14,"F",35,"english",13,2,"plants","item","two plants","noun"
"302",14,"F",35,"english",14,2,"balloons","nothing","no balloons","no"
"303",14,"F",35,"english",15,0,"daisies","item","two daises.","noun"
"304",14,"F",35,"english",16,1,"cookies","item","two cookies","noun"
"305",14,"F",35,"english",17,1,"umbrellas","nothing","a red shirt on","clothing"
"306",14,"F",35,"english",18,3,"guitars","item","two guitars","noun"
"307",14,"F",35,"english",19,2,"bows","item","pink bows in her hair","noun"
"308",14,"F",35,"english",20,1,"donuts","item","two donuts","noun"
"309",14,"F",35,"english",21,2,"purses","item","a purse in each hand","noun"
"310",14,"F",35,"english",22,0,"lollipops","nothing","a blue shirt on","clothing"
"311",14,"F",35,"english",23,2,"cars","item","two red cars","noun"
"312",14,"F",35,"english",24,3,"cats","nothing","no pets with her","no"
"313",14,"F",35,"english",25,2,"phones","nothing","no cell phones in her hand","no"
"314",14,"F",35,"english",26,3,"carrots","item","on a pink headband","clothing"
"315",14,"F",35,"english",27,1,"kites","item","two kites","noun"
"316",14,"F",35,"english",28,1,"mittens","nothing","a purple dress on","clothing"
"317",14,"F",35,"english",29,3,"dogs","nothing","no dogs","no"
"318",14,"F",35,"english",30,0,"pencils","nothing","blond hair","body"
"319",14,"F",35,"english",31,3,"scissors","nothing","no sissors","no"
"320",14,"F",35,"english",32,1,"forks","nothing","on a blue shirt","clothing"
"321",15,"M",45,"English",1,1,"ice cream cones","item","two ice cream cones","noun"
"322",15,"M",45,"English",2,3,"cakes","nothing","no cakes","no"
"323",15,"M",45,"English",3,3,"plants","nothing","no plants","no"
"324",15,"M",45,"English",4,2,"cats","nothing","no cats","no"
"325",15,"M",45,"English",5,0,"phones","nothing","a pink blouse","clothing"
"326",15,"M",45,"English",6,2,"fish","nothing","no fish","no"
"327",15,"M",45,"English",7,1,"carrots","item","two carrots","noun"
"328",15,"M",45,"English",8,2,"umbrellas","nothing","no umbrellas","no"
"329",15,"M",45,"English",9,3,"bows","item","a yellow dress","clothing"
"330",15,"M",45,"English",10,1,"keys","nothing","no keys","no"
"331",15,"M",45,"English",11,2,"forks","item","two forks","noun"
"332",15,"M",45,"English",12,2,"mittens","item","mittens","noun"
"333",15,"M",45,"English",13,1,"buckets","item","two buckets","noun"
"334",15,"M",45,"English",14,2,"lollipops","item","two lollipops","noun"
"335",15,"M",45,"English",15,2,"flowers","item","two flowers","noun"
"336",15,"M",45,"English",16,1,"presents","nothing","no gifts","no"
"337",15,"M",45,"English",17,0,"shovels","nothing","yellow blouse","clothing"
"338",15,"M",45,"English",18,3,"pencils","item","two pencils","noun"
"339",15,"M",45,"English",19,0,"rainboots","item","rain boots","noun"
"340",15,"M",45,"English",20,3,"balloons","item","two balloons","noun"
"341",15,"M",45,"English",21,0,"kites","item","two kites","noun"
"342",15,"M",45,"English",22,0,"dogs","item","two dogs","noun"
"343",15,"M",45,"English",23,1,"purses","item","two purses","noun"
"344",15,"M",45,"English",24,3,"cookies","nothing","no cookies","no"
"345",15,"M",45,"English",25,3,"crayons","nothing","no crayons","no"
"346",15,"M",45,"English",26,1,"daisies","nothing","no flowers","no"
"347",15,"M",45,"English",27,2,"donuts","nothing","no donuts","no"
"348",15,"M",45,"English",28,0,"bananas","nothing","a red shirt","clothing"
"349",15,"M",45,"English",29,0,"guitars","nothing","a green shirt","clothing"
"350",15,"M",45,"English",30,3,"apples","item","two apples","noun"
"351",15,"M",45,"English",31,1,"cars","nothing","no toy cars","no"
"352",15,"M",45,"English",32,0,"scissors","item","two scissors","noun"
"353",16,"M",35,"English",1,2,"carrots","item","two carrots in her basket","noun"
"354",16,"M",35,"English",2,1,"cakes","nothing","a blue shirt on","clothing"
"355",16,"M",35,"English",3,3,"keys","item","a keychain with two keys","noun"
"356",16,"M",35,"English",4,0,"guitars","nothing","a green shirt on","clothing"
"357",16,"M",35,"English",5,1,"cookies","item","two cookies","noun"
"358",16,"M",35,"English",6,1,"umbrellas","nothing","a red shirt on","clothing"
"359",16,"M",35,"English",7,1,"phones","nothing","a pink shirt and a grey skirt on","clothing"
"360",16,"M",35,"English",8,3,"rainboots","nothing","a green dress on","clothing"
"361",16,"M",35,"English",9,0,"ice cream cones","nothing","an orange shirt and blue jeans on","clothing"
"362",16,"M",35,"English",10,0,"lollipops","item","two pink lollipops in his left hand","noun"
"363",16,"M",35,"English",11,0,"crayons","item","two crayons on her desk","noun"
"364",16,"M",35,"English",12,2,"cats","item","two cats sitting next to her","noun"
"365",16,"M",35,"English",13,2,"cars","item","a green shirt on","clothing"
"366",16,"M",35,"English",14,3,"bananas","nothing","a red shirt and grey shorts on","clothing"
"367",16,"M",35,"English",15,3,"forks","nothing","a blue shirt on","clothing"
"368",16,"M",35,"English",16,2,"pencils","nothing","a purple shirt on","clothing"
"369",16,"M",35,"English",17,3,"donuts","item","a purple shirt on","clothing"
"370",16,"M",35,"English",18,0,"plants","nothing","short red hair","body"
"371",16,"M",35,"English",19,3,"kites","item","short blonde hair","body"
"372",16,"M",35,"English",20,1,"flowers","nothing","medium-length blonde hair with a pink headband","body"
"373",16,"M",35,"English",21,0,"purses","item","two green purses","noun"
"374",16,"M",35,"English",22,2,"presents","nothing","medium-length dark hair","body"
"375",16,"M",35,"English",23,0,"apples","nothing","a blue shirt and grey pants on","clothing"
"376",16,"M",35,"English",24,2,"dogs","nothing","short brown hair","body"
"377",16,"M",35,"English",25,2,"daisies","item","short brown hair","body"
"378",16,"M",35,"English",26,0,"shovels","item","two shovels in her left hand","noun"
"379",16,"M",35,"English",27,2,"buckets","nothing","a pink dress on","clothing"
"380",16,"M",35,"English",28,3,"fish","item","a fishing pole and fish in her hands","noun"
"381",16,"M",35,"English",29,1,"balloons","item","two green balloons","noun"
"382",16,"M",35,"English",30,1,"mittens","item","turquoise mittens and a purple dress","noun"
"383",16,"M",35,"English",31,1,"bows","item","a yellow dress on","clothing"
"384",16,"M",35,"English",32,3,"scissors","nothing","medium-length brown hair","body"
"385",17,"M",35,"English",1,1,"scissors","nothing","nothing","nothing"
"386",17,"M",35,"English",2,0,"fish","item","fish","noun"
"387",17,"M",35,"English",3,2,"bananas","item","bananas","noun"
"388",17,"M",35,"English",4,1,"plants","item","plants","noun"
"389",17,"M",35,"English",5,0,"pencils","nothing","a box","othernoun"
"390",17,"M",35,"English",6,0,"cars","item","toy cars","noun"
"391",17,"M",35,"English",7,1,"crayons","nothing","a box","othernoun"
"392",17,"M",35,"English",8,2,"daisies","item","flowers","noun"
"393",17,"M",35,"English",9,3,"guitars","item","guitars","noun"
"394",17,"M",35,"English",10,3,"cakes","item","cakes","noun"
"395",17,"M",35,"English",11,3,"forks","item","utensils","noun"
"396",17,"M",35,"English",12,1,"cats","item","cats","noun"
